invoice_id,resident_id,invoice_number,invoice_date,due_date,description,amount,status,payment_id,year,month,created_at,updated_at
74,A011,INV-2025-000074,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
75,A011,INV-2025-000075,2025-01-01,2025-01-31,Excess Payment Brought Forward,115.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
76,A012,INV-2023-000076,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
77,A012,INV-2023-000077,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
78,A012,INV-2025-000078,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
79,A012,INV-2025-000079,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
80,A012,INV-2025-000080,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
81,A012,INV-2025-000081,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
82,A012,INV-2025-000082,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
83,A012,INV-2025-000083,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
84,A012,INV-2025-000084,2025-01-01,2025-01-31,Excess Payment Brought Forward,5.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
85,A013,INV-2025-000085,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
86,A013,INV-2025-000086,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
87,A013,INV-2025-000087,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
88,A014,INV-2023-000088,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
89,A014,INV-2023-000089,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
90,A014,INV-2025-000090,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
91,A014,INV-2025-000091,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
92,A014,INV-2025-000092,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
93,A014,INV-2025-000093,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
94,A014,INV-2025-000094,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
95,A014,INV-2025-000095,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
96,A014,INV-2025-000096,2025-01-01,2025-01-31,Excess Payment Brought Forward,5.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
97,A015,INV-2023-000097,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
98,A015,INV-2023-000098,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
99,A015,INV-2024-000099,2024-01-01,2024-01-31,Annual Fee 2024,100.0,PAID,,2024,1,2025-08-16 03:45:36,2025-08-16 03:45:36
100,A015,INV-2025-000100,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
101,A015,INV-2025-000101,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
102,A015,INV-2025-000102,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
103,A015,INV-2025-000103,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
104,A015,INV-2025-000104,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
105,A015,INV-2025-000105,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
106,A016,INV-2023-000106,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
107,A016,INV-2023-000107,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
108,A016,INV-2025-000108,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
109,A016,INV-2025-000109,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
110,A016,INV-2025-000110,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
111,A016,INV-2025-000111,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
112,A016,INV-2025-000112,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
113,A016,INV-2025-000113,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
114,A017,INV-2023-000114,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
115,A017,INV-2023-000115,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
116,A017,INV-2025-000116,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
117,A017,INV-2025-000117,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
118,A017,INV-2025-000118,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
119,A017,INV-2025-000119,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
120,A017,INV-2025-000120,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
121,A017,INV-2025-000121,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
122,A017,INV-2025-000122,2025-01-01,2025-01-31,Excess Payment Brought Forward,55.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
123,A018,INV-2023-000123,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
124,A018,INV-2023-000124,2023-01-01,2023-01-31,Annual Fee 2023,7747.540000000001,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
125,A018,INV-2025-000125,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
126,A018,INV-2025-000126,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
127,A018,INV-2025-000127,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
128,A018,INV-2025-000128,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
129,A018,INV-2025-000129,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
130,A018,INV-2025-000130,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
131,A022,INV-2023-000131,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
132,A022,INV-2025-000132,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
133,A022,INV-2025-000133,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
134,A022,INV-2025-000134,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
135,A022,INV-2025-000135,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
136,A022,INV-2025-000136,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
137,A023,INV-2025-000137,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
138,A023,INV-2025-000138,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
139,A023,INV-2025-000139,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
140,A023,INV-2025-000140,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
141,A024,INV-2023-000141,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
142,A024,INV-2023-000142,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
143,A024,INV-2024-000143,2024-01-01,2024-01-31,Annual Fee 2024,50.0,PAID,,2024,1,2025-08-16 03:45:36,2025-08-16 03:45:36
144,A024,INV-2025-000144,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
145,A024,INV-2025-000145,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
146,A024,INV-2025-000146,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
147,A024,INV-2025-000147,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
148,A024,INV-2025-000148,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
149,A024,INV-2025-000149,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
150,A025,INV-2023-000150,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
151,A025,INV-2023-000151,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
152,A025,INV-2025-000152,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
153,A025,INV-2025-000153,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
154,A025,INV-2025-000154,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
155,A025,INV-2025-000155,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
156,A025,INV-2025-000156,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
157,A025,INV-2025-000157,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
158,A026,INV-2023-000158,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
159,A026,INV-2023-000159,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
160,A026,INV-2025-000160,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
161,A026,INV-2025-000161,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
162,A026,INV-2025-000162,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
163,A026,INV-2025-000163,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
164,A027,INV-2023-000164,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
165,A027,INV-2023-000165,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
166,A027,INV-2024-000166,2024-01-01,2024-01-31,Annual Fee 2024,50.0,PAID,,2024,1,2025-08-16 03:45:36,2025-08-16 03:45:36
167,A027,INV-2025-000167,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
168,A027,INV-2025-000168,2025-04-01,2025-04-30,Guard Fee - April 2025,30.0,PAID,,2025,4,2025-08-16 03:45:36,2025-08-16 03:45:36
169,A027,INV-2025-000169,2025-05-01,2025-05-31,Guard Fee - May 2025,30.0,PAID,,2025,5,2025-08-16 03:45:36,2025-08-16 03:45:36
170,A027,INV-2025-000170,2025-06-01,2025-06-30,Guard Fee - June 2025,30.0,PAID,,2025,6,2025-08-16 03:45:36,2025-08-16 03:45:36
171,A027,INV-2025-000171,2025-07-01,2025-07-31,Guard Fee - July 2025,30.0,PAID,,2025,7,2025-08-16 03:45:36,2025-08-16 03:45:36
172,A027,INV-2025-000172,2025-08-01,2025-08-31,Guard Fee - August 2025,55.0,PENDING,,2025,8,2025-08-16 03:45:36,2025-08-16 03:45:36
173,A028,INV-2023-000173,2023-01-01,2023-01-31,Membership Fee,10.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
174,A028,INV-2023-000174,2023-01-01,2023-01-31,Annual Fee 2023,50.0,PAID,,2023,1,2025-08-16 03:45:36,2025-08-16 03:45:36
175,A028,INV-2025-000175,2025-01-01,2025-01-31,Guard Fee - Raya,30.0,PENDING,,2025,1,2025-08-16 03:45:36,2025-08-16 03:45:36
